,title,eps_count,publish_date,status,season,studio,Censorship,rate,director,eps_period,type,classification
25,Gensou Sangokushi: Tengen Reishinki,الحلقات: 12,27-Sep-23,الحالة: مكتمل,Winter 2022,Geek Toys,الرقابة: Censored,التقييم 5.32,Machitani Shunsuke,المدة: 24 min. per ep.,النوع: مسلسل,"['Fantasy', 'Historical']"
26,Baccano!,الحلقات: 13,12-Oct-23,الحالة: مكتمل,Summer 2007,Brain's Base,الرقابة: Censored,التقييم 8.36,Oomori Takahiro,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Comedy', 'Historical', 'Mystery', 'Organized Crime', 'Supernatural']"
27,Kobayashi-san Chi no Maid Dragon,الحلقات: 13,5-Oct-23,الحالة: مكتمل,Winter 2017,Kyoto Animation,الرقابة: Censored,التقييم 7.96,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Fantasy', 'Slice of Life']"
28,Chi.: Chikyuu no Undou ni Tsuite,"تم الإصدار في: August 21, 2024",unknown,الحالة: يعرض الأن,unknown,Madhouse,"تحديث في: March 16, 2025",unknown,unknown,النوع: مسلسل,نشر بواسطة: admin,"['Drama', 'Historical', 'Seinen']"
29,Shingeki no Kyojin: The Final Season,الحلقات: 16,12-Oct-23,الحالة: مكتمل,Winter 2021,MAPPA,الرقابة: Censored,التقييم 8.79,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']"
30,Kibou no Chikara: Otona Precure ’23,المخرج: Hamana Takayuki,unknown,الحالة: مكتمل,unknown,Studio Deen,نشر بواسطة: admin,unknown,unknown,الموسم: Fall 2023,الرقابة: Censored,"['Action', 'Adult Cast', 'Fantasy', 'Mahou Shoujo']"
31,Karakuri Circus,الحلقات: 36,14-Oct-23,الحالة: مكتمل,Fall 2018,Studio VOLN,الرقابة: Censored,التقييم 7.15,Nishimura Satoshi,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Adventure', 'Drama', 'Mystery', 'Shounen']"
32,Kanojo mo Kanojo Season 2,المخرج: Suzuki Takaaki,unknown,الحالة: مكتمل,unknown,SynergySP,نشر بواسطة: admin,unknown,unknown,الموسم: Fall 2023,الرقابة: Censored,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen']"
33,Kabushikigaisha Magi-Lumière,نشر بواسطة: admin,unknown,الحالة: يعرض الأن,unknown,J.C.Staff,"تم الإصدار في: August 21, 2024",unknown,unknown,النوع: مسلسل,المخرج: Hiraoka Masahiro,"['Action', 'Adult Cast', 'Comedy', 'Fantasy', 'Mahou Shoujo', 'Shounen', 'Workplace']"
34,Dies Irae,الحلقات: 11,19-Sep-23,الحالة: مكتمل,Fall 2017,A.C.G.T.,الرقابة: Censored,التقييم 5.38,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Military', 'Super Power']"
35,Ryman’s Club,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Winter 2022,LIDENFILMS,الرقابة: Censored,التقييم 7.37,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Adult Cast', 'Sports', 'Workplace']"
36,Dogeza de Tanondemita,الحلقات: 12,22-Sep-23,الحالة: مكتمل,Fall 2020,Adonero,الرقابة: Censored,التقييم 5.59,Nagai Shinpei,المدة: 3 min. per ep.,النوع: مسلسل,"['Comedy', 'Ecchi', 'Fantasy']"
37,Tokyo 24-ku,الحلقات: 12,28-Sep-23,الحالة: مكتمل,Winter 2022,CloverWorks,الرقابة: Censored,التقييم 6.35,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Mystery', 'Sci-Fi', 'Super Power']"
38,Vlad Love,الرقابة: Censored,4-Dec-23,الحالة: مكتمل,unknown,Drive,"المخرج: Nishimura Junji, Oshii Mamoru",التقييم 5.84,unknown,المدة: 24 min. per ep.,الحلقات: 12,"['Comedy', 'School', 'Supernatural', 'Vampire']"
39,Kaichou wa Maid-sama!,الحلقات: 26,14-Oct-23,الحالة: مكتمل,Spring 2010,J.C.Staff,الرقابة: Censored,التقييم 8.01,Sakurai Hiroaki,المدة: 24 min. per ep.,النوع: مسلسل,"['Comedy', 'Romance', 'School', 'Shoujo']"
40,Seiken no Blacksmith,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Fall 2009,Manglobe,الرقابة: Censored,التقييم 6.66,Hidaka Masamitsu,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Adventure', 'Fantasy']"
41,Steins;Gate 0,الحلقات: 23,12-Oct-23,الحالة: مكتمل,Spring 2018,White Fox,الرقابة: Censored,التقييم 8.53,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Drama', 'Sci-Fi', 'Suspense', 'Time Travel']"
42,Kyuuketsuki Sugu Shinu,الحلقات: 12,25-Sep-23,الحالة: مكتمل,Fall 2021,Madhouse,الرقابة: Censored,التقييم 7.26,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Adult Cast', 'Comedy', 'Gag Humor', 'Shounen', 'Supernatural', 'Vampire']"
43,Blade Runner: Black Lotus,الحلقات: 13,2-Oct-23,الحالة: مكتمل,Fall 2021,Sola Digital Arts,الرقابة: Censored,التقييم 6.28,Aramaki Shinji,المدة: 23 min. per ep.,النوع: مسلسل,"['Sci-Fi', 'Suspense']"
44,Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2,الحلقات: 13,5-Oct-23,الحالة: مكتمل,Winter 2022,J.C.Staff,الرقابة: Censored,التقييم 7.44,Watanabe Takashi,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Fantasy', 'Harem', 'Isekai', 'Military', 'Romance']"
45,Charlotte,الحلقات: 13,2-Oct-23,الحالة: مكتمل,Summer 2015,P.A. Works,الرقابة: Censored,التقييم 7.75,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Drama', 'School', 'Super Power']"
46,Koi wa Ameagari no You ni,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Winter 2018,Wit Studio,الرقابة: Censored,التقييم 7.49,Watanabe Ayumu,المدة: 22 min. per ep.,النوع: مسلسل,"['Drama', 'Romance', 'Seinen', 'Workplace']"
47,Darker than Black: Kuro no Keiyakusha,الحلقات: 25,14-Oct-23,الحالة: مكتمل,Spring 2007,Bones,الرقابة: Censored,التقييم 8.06,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Mystery', 'Sci-Fi', 'Super Power']"
48,High School DxD BorN,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Spring 2015,TNK,الرقابة: Censored,التقييم 7.42,Yanagisawa Tetsuya,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Mythology', 'Romance', 'School']"
49,Black Lagoon: The Second Barrage,الحلقات: 12,28-Sep-23,الحالة: مكتمل,Fall 2006,Madhouse,الرقابة: Censored,التقييم 8.17,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Adult Cast', 'Organized Crime', 'Seinen']"
50,One Piece: Episode of East Blue – Luffy to 4-nin no Nakama no Daibouken,الرقابة: Censored,22-Aug-24,الحالة: مكتمل,unknown,Toei Animation,المخرج: Ootsuka Takashi,التقييم 7.86,unknown,المدة: 1 hr. 46 min.,الحلقات: 1,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
51,Dororo,الحلقات: 24,13-Oct-23,الحالة: مكتمل,Winter 2019,MAPPA,الرقابة: Censored,التقييم 8.25,Furuhashi Kazuhiro,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Adventure', 'Historical', 'Mythology', 'Samurai', 'Shounen', 'Supernatural']"
52,Momochi-san Chi no Ayakashi Ouji,المخرج: Shirahata Nobuo,unknown,الحالة: مكتمل,unknown,Drive,نشر بواسطة: admin,unknown,unknown,الموسم: Winter 2024,الرقابة: Censored,"['Fantasy', 'Mythology', 'Romance', 'Shoujo']"
53,So Ra No Wo To,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Winter 2010,A-1 Pictures,الرقابة: Censored,التقييم 7.54,Kanbe Mamoru,المدة: 24 min. per ep.,النوع: مسلسل,"['Iyashikei', 'Military', 'Music', 'Sci-Fi', 'Slice of Life']"
54,Maougun Saikyou no Majutsushi wa Ningen datta,المخرج: Nagahama Norihiko,unknown,الحالة: مكتمل,unknown,Studio A-CAT,نشر بواسطة: admin,unknown,unknown,الموسم: Summer 2024,الرقابة: Censored,"['Action', 'Adventure', 'Fantasy', 'Isekai', 'Reincarnation']"
55,Shy,المخرج: Andou Masaomi,unknown,الحالة: يعرض الأن,unknown,8bit,نشر بواسطة: admin,unknown,unknown,الموسم: Fall 2023,الرقابة: Censored,"['Action', 'Drama', 'Shounen', 'Super Power']"
56,SD Gundam World Heroes,الرقابة: Censored,4-Dec-23,الحالة: مكتمل,unknown,Sunrise,المخرج: Ikezoe Takahiro,التقييم 5.71,unknown,المدة: 24 min. per ep.,الحلقات: 24,"['Action', 'Mecha', 'Sci-Fi']"
57,Mashle 2nd Season,نشر بواسطة: admin,unknown,الحالة: مكتمل,unknown,A-1 Pictures,"تم الإصدار في: December 1, 2023",unknown,unknown,النوع: مسلسل,المخرج: Tanaka Tomoya,"['Action', 'Comedy', 'Fantasy', 'Gag Humor', 'Parody', 'School', 'Shounen']"
58,Kuroko no Basket 3rd Season,الحلقات: 25,14-Oct-23,الحالة: مكتمل,Winter 2015,Production I.G,الرقابة: Censored,التقييم 8.30,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['School', 'Shounen', 'Sports', 'Team Sports']"
59,Yurei Deco,الحلقات: 12,22-Sep-23,الحالة: مكتمل,Summer 2022,Science SARU,الرقابة: Censored,التقييم 6.04,Shimoyama Tomohisa,المدة: 23 min. per ep.,النوع: مسلسل,['Sci-Fi']
60,Kono Subarashii Sekai ni Shukufuku wo!,الحلقات: 10,19-Sep-23,الحالة: مكتمل,Winter 2016,Studio Deen,الرقابة: Censored,التقييم 8.11,Kanasaki Takaomi,المدة: 23 min. per ep.,النوع: مسلسل,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody', 'Reincarnation']"
61,Arslan Senki (TV),الحلقات: 25,14-Oct-23,الحالة: مكتمل,Spring 2015,LIDENFILMS,الرقابة: Censored,التقييم 7.66,Abe Noriyuki,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Military', 'Shounen']"
62,Paripi Koumei,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Spring 2022,P.A. Works,الرقابة: Censored,التقييم 8.16,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Adult Cast', 'Comedy', 'Music', 'Showbiz']"
63,Madan no Ou to Vanadis,الحلقات: 13,2-Oct-23,الحالة: مكتمل,Fall 2014,Satelight,الرقابة: Censored,التقييم 7.11,Satou Tatsuo,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Adventure', 'Fantasy', 'Harem', 'Military']"
64,ون بيس One Piece,الرقابة: Censored,28-Apr-25,الحالة: يعرض الأن,Fall 1999,Toei Animation,"المخرج: Nagamine Tatsuya, Uda Kounosuke",التقييم 8.70,unknown,المدة: 24 min.,النوع: مسلسل,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
65,Baraou no Souretsu,الحلقات: 24,13-Oct-23,الحالة: مكتمل,Winter 2022,J.C.Staff,الرقابة: Censored,التقييم 6.35,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Drama', 'Historical', 'Shoujo', 'Supernatural']"
66,Renmei Kuugun Koukuu Mahou Ongakutai Luminous Witches,الحلقات: 12,4-Dec-23,الحالة: مكتمل,Summer 2022,Shaft,الرقابة: Censored,التقييم 6.68,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Idols (Female)', 'Military', 'Music', 'Sci-Fi']"
67,Isekai Shoukan wa Nidome desu,الحلقات: 12,18-Sep-23,الحالة: مكتمل,Spring 2023,Studio Elle,الرقابة: Censored,التقييم 5.67,Nakanishi Motoki,المدة: 23 min. per ep.,النوع: مسلسل,"['Adventure', 'Comedy', 'Fantasy', 'Harem', 'Isekai', 'Romance']"
68,Nisekoi:,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Spring 2015,Shaft,الرقابة: Censored,التقييم 7.35,Shinbou Akiyuki,المدة: 24 min. per ep.,النوع: مسلسل,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen']"
69,Isekai Shikkaku,المخرج: Kawai Shigeki,unknown,الحالة: مكتمل,unknown,AtelierPontdarc,نشر بواسطة: admin,unknown,unknown,الموسم: Summer 2024,الرقابة: Censored,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody']"
70,Kawaii dake ja Nai Shikimori-san,الحلقات: 12,2-Oct-23,الحالة: مكتمل,Spring 2022,Doga Kobo,الرقابة: Censored,التقييم 6.92,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Comedy', 'Romance', 'School']"
71,"Tantei wa Mou, Shindeiru.",الحلقات: 12,27-Sep-23,الحالة: مكتمل,Summer 2021,ENGI,الرقابة: Censored,التقييم 6.38,Kurihara Manabu,المدة: 25 min. per ep.,النوع: مسلسل,"['Comedy', 'Mystery', 'Romance']"
72,Yuu☆Yuu☆Hakusho,الحلقات: 112,19-Sep-23,الحالة: مكتمل,Fall 1992,Pierrot,الرقابة: Censored,التقييم 8.46,Abe Noriyuki,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Fantasy', 'Mythology', 'Shounen']"
73,Code Geass: Hangyaku no Lelouch,الحلقات: 25,13-Oct-23,الحالة: مكتمل,Fall 2006,Sunrise,الرقابة: Censored,التقييم 8.70,Taniguchi Gorou,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Award Winning', 'Drama', 'Mecha', 'Military', 'School', 'Sci-Fi', 'Super Power']"
74,Appare-Ranman!,الحلقات: 13,5-Oct-23,الحالة: مكتمل,Spring 2020,P.A. Works,الرقابة: Censored,التقييم 7.26,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Adult Cast', 'Comedy', 'Historical', 'Racing']"
75,Mahouka Koukou no Rettousei: Raihousha-hen,الحلقات: 13,2-Oct-23,الحالة: مكتمل,Fall 2020,8bit,الرقابة: Censored,التقييم 7.28,Yoshida Risako,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Fantasy', 'Romance', 'School', 'Sci-Fi']"
76,IS: Infinite Stratos,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Winter 2011,8bit,الرقابة: Censored,التقييم 6.63,Kikuchi Yasuhito,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Comedy', 'Ecchi', 'Harem', 'Mecha', 'Sci-Fi']"
77,Higurashi no Naku Koro ni Gou,الحلقات: 24,13-Oct-23,الحالة: مكتمل,Fall 2020,Passione,الرقابة: Censored,التقييم 7.20,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Gore', 'Horror', 'Mystery', 'Psychological', 'Supernatural']"
78,Golden Kamuy 3rd Season,الحلقات: 12,25-Sep-23,الحالة: مكتمل,Fall 2020,Geno Studio,الرقابة: Censored,التقييم 8.45,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Adult Cast', 'Adventure', 'Historical', 'Military', 'Seinen']"
79,Bakuman. 2nd Season,الحلقات: 25,13-Oct-23,الحالة: مكتمل,Fall 2011,J.C.Staff,الرقابة: Censored,التقييم 8.35,Akitaya Noriaki,المدة: 24 min. per ep.,النوع: مسلسل,"['Comedy', 'Drama', 'Otaku Culture', 'Romance', 'Shounen']"
80,Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Spring 2022,Zero-G,الرقابة: Censored,التقييم 7.31,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Adult Cast', 'Comedy', 'Romance']"
81,Izure Saikyou no Renkinjutsushi?,المخرج: Kuzuya Naoyuki,unknown,الحالة: مكتمل,unknown,Studio Comet,نشر بواسطة: admin,unknown,unknown,الموسم: Winter 2025,الرقابة: Censored,"['Adventure', 'Fantasy', 'Isekai']"
82,Under Ninja,المخرج: Kuwabara Satoshi,unknown,الحالة: مكتمل,unknown,Tezuka Productions,نشر بواسطة: admin,unknown,unknown,الموسم: Fall 2023,الرقابة: Censored,"['Action', 'Seinen']"
83,Astro Note,"المخرج: Kasugamori Haruki, Takamatsu Shinji",unknown,الحالة: مكتمل,unknown,Telecom Animation Film,نشر بواسطة: admin,unknown,unknown,الموسم: Spring 2024,الرقابة: Censored,"['Comedy', 'Romance', 'Sci-Fi']"
84,Shingeki no Bahamut: Virgin Soul,الحلقات: 24,13-Oct-23,الحالة: مكتمل,Spring 2017,MAPPA,الرقابة: Censored,التقييم 7.43,Satou Keiichi,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Adventure', 'Fantasy', 'Mythology']"
85,Kizuna no Allele Season 2,المخرج: Komaya Kenichiro,unknown,الحالة: قادم,unknown,Signal.MD,نشر بواسطة: admin,unknown,unknown,الموسم: Fall 2023,الرقابة: Censored,"['Music', 'School']"
86,Ishura 2nd Season,"المخرج: Ogawa Yuuki, Takahashi Takeo",unknown,الحالة: قادم,unknown,Passione,نشر بواسطة: admin,unknown,unknown,الموسم: Winter 2025,الرقابة: Censored,"['Action', 'Adventure', 'Fantasy', 'Gore', 'Isekai']"
87,Hajimete no Gal,الحلقات: 10,19-Sep-23,الحالة: مكتمل,Summer 2017,NAZ,الرقابة: Censored,التقييم 6.28,Furukawa Hiroyuki,المدة: 23 min. per ep.,النوع: مسلسل,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'School', 'Shounen']"
88,Gyakuten Sekai no Denchi Shoujo,الحلقات: 12,2-Oct-23,الحالة: مكتمل,Fall 2021,Lerche,الرقابة: Censored,التقييم 6.32,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Comedy', 'Mecha', 'Sci-Fi']"
89,Kokoro Connect,الحلقات: 13,2-Oct-23,الحالة: مكتمل,Summer 2012,SILVER LINK.,الرقابة: Censored,التقييم 7.74,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Drama', 'Love Polygon', 'Romance', 'School', 'Supernatural']"
90,Kinnikuman: Kanpeki Chоujin Shiso-hen Season 2,المخرج: Satou Akira,unknown,الحالة: مكتمل,unknown,Production I.G,نشر بواسطة: admin,unknown,unknown,الموسم: Winter 2025,الرقابة: Censored,"['Combat Sports', 'Comedy', 'Shounen', 'Sports']"
91,Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life,الحلقات: 12,18-Sep-23,الحالة: مكتمل,Winter 2023,Encourage Films,الرقابة: Censored,التقييم 7.05,unknown,المدة: 23 min. per ep.,النوع: مسلسل,['Fantasy']
92,Kidou Senshi Gundam: Suisei no Majo,الحلقات: 12,18-Sep-23,الحالة: مكتمل,Fall 2022,Sunrise,الرقابة: Censored,التقييم 7.89,Kobayashi Hiroshi,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Mecha', 'School', 'Sci-Fi', 'Space']"
93,Saenai Heroine no Sodatekata ♭,الحلقات: 11,19-Sep-23,الحالة: مكتمل,Spring 2017,A-1 Pictures,الرقابة: Censored,التقييم 7.76,Kamei Kanta,المدة: 22 min. per ep.,النوع: مسلسل,"['Comedy', 'Ecchi', 'Harem', 'Otaku Culture', 'Romance', 'School']"
94,Migi to Dali,المخرج: Mankyuu,unknown,الحالة: مكتمل,unknown,CompTown,نشر بواسطة: admin,unknown,unknown,الموسم: Fall 2023,الرقابة: Censored,"['Mystery', 'Seinen']"
95,Gintama.,الحلقات: 12,27-Sep-23,الحالة: مكتمل,Winter 2017,Bandai Namco Pictures,الرقابة: Censored,التقييم 8.98,Miyawaki Chizuru,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']"
96,Shingeki no Kyojin Season 3 Part 2,الحلقات: 10,19-Sep-23,الحالة: مكتمل,Spring 2019,Wit Studio,الرقابة: Censored,التقييم 9.05,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival']"
97,Build Divide: Code Black,الحلقات: 12,27-Sep-23,الحالة: مكتمل,Fall 2021,LIDENFILMS,الرقابة: Censored,التقييم 6.39,Komada Yuki,المدة: 23 min. per ep.,النوع: مسلسل,"['Fantasy', 'Strategy Game']"
